match_no,date,time_local,home_team,away_team,venue,city,country,neutral,source_note
73,2026-06-28,12:00,South Africa,Canada,SoFi Stadium,Inglewood,United States,TRUE,FIFA Round of 32 schedule
76,2026-06-29,12:00,Brazil,Japan,NRG Stadium,Houston,United States,TRUE,FIFA Round of 32 schedule
75,2026-06-29,19:00,Netherlands,Morocco,Estadio BBVA,Guadalupe,Mexico,TRUE,FIFA Round of 32 schedule
81,2026-07-01,17:00,United States,Bosnia and Herzegovina,Levi's Stadium,Santa Clara,United States,FALSE,FIFA Round of 32 schedule
